6.8838e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -5.24738e-12     0.612709	 0 -0  0
0.00110956	        0 -0.785338   1.4e-05  -2.18161   2.6e-05   1.39616   1.5e-05	   0.286732 9.84565e-06    0.612704	0.00132723  0.0199998 -0.0112677
0.00210093	    1e-06 -0.785161   5.6e-05  -2.18148  0.000105   1.39584   5.8e-05	   0.286733 3.98339e-05    0.612687	0.00265158  0.0395974 -0.0222922
0.00305762	    3e-06 -0.784869  0.000125  -2.18125  0.000234   1.39531  0.000128	   0.286737 8.90794e-05     0.61266	0.00396529  0.0587984 -0.0330658
0.00409929	    6e-06 -0.784466  0.000221  -2.18094  0.000411   1.39459  0.000222	   0.286741 0.000157263    0.612621	0.00526138  0.0776076 -0.0435805
0.00507093	    1e-05 -0.783956  0.000343  -2.18055  0.000635   1.39367   0.00034	  0.286747 0.00024383   0.612572	  0.006538  0.0960297 -0.0538303
0.00607228	  1.6e-05 -0.783343  0.000492  -2.18007  0.000905   1.39257  0.000479	   0.286754 0.000349314    0.612514	0.00778829    0.11407 -0.0638102
0.00705418	  2.3e-05 -0.782629  0.000666  -2.17952  0.001217   1.39129  0.000638	   0.286763 0.000471988    0.612445	0.00900999   0.131733 -0.0735167
0.00805628	  3.3e-05 -0.781817  0.000865   -2.1789  0.001572   1.38984  0.000815	   0.286773 0.000612602    0.612367	 0.0101988   0.149024 -0.0829465
0.00905657	  4.4e-05 -0.780912  0.001089  -2.17821  0.001966   1.38822   0.00101	   0.286783 0.000769941    0.612279	 0.0113535   0.165945 -0.0920988
0.010054	  5.8e-05 -0.779915  0.001337  -2.17745  0.002399   1.38644  0.001221	   0.286795 0.000944195    0.612183	0.0124709  0.182503 -0.100972
0.011065	  7.5e-05 -0.778829  0.001608  -2.17662  0.002869    1.3845  0.001446	  0.286808 0.00113465   0.612077	0.0135503  0.198701 -0.109565
0.0120601	  9.4e-05 -0.777659  0.001903  -2.17572  0.003374   1.38241  0.001685	  0.286822 0.00134111   0.611964	0.0145909  0.214543  -0.11788
0.0130715	 0.000116 -0.776405  0.002222  -2.17477  0.003913   1.38018  0.001936	 0.286837 0.0015637  0.611842	0.0155906  0.230033 -0.125917
0.0141051	 0.000141 -0.775071  0.002562  -2.17376  0.004485   1.37781    0.0022	  0.286853 0.00180109   0.611712	0.0165502  0.245176 -0.133678
0.0150553	 0.000169 -0.773659  0.002925  -2.17269  0.005088    1.3753  0.002473	   0.28687 0.00205375   0.611574	0.0174701  0.259974 -0.141165
0.0160722	 0.000201 -0.772173  0.003309  -2.17157  0.005721   1.37267  0.002757	  0.286888 0.00232102    0.61143	0.0183487  0.274433 -0.148381
0.0170721	 0.000236 -0.770613  0.003715  -2.17039  0.006381   1.36991   0.00305	  0.286907 0.00260253   0.611278	0.0191873  0.288556 -0.155329
0.0180982	 0.000274 -0.768983  0.004142  -2.16916  0.007069   1.36702  0.003351	  0.286927 0.00289805   0.611119	0.0199868  0.302346 -0.162011
0.0190531	 0.000316 -0.767286  0.004589  -2.16789  0.007782   1.36403  0.003659	0.286947 0.003207 0.610954	  0.02075  0.315807 -0.168434
0.0200984	 0.000362 -0.765522  0.005056  -2.16657   0.00852   1.36092  0.003974	  0.286968 0.00352938   0.610782	0.021475 0.328944  -0.1746
0.0210983	 0.000412 -0.763694  0.005542   -2.1652  0.009281   1.35771  0.004295	   0.28699 0.00386446   0.610605	0.0221659   0.34176 -0.180513
0.0220709	 0.000467 -0.761805  0.006048  -2.16379  0.010064   1.35439  0.004621	  0.287012 0.00421277   0.610421	0.0228227  0.354258 -0.186179
0.0230893	 0.000525 -0.759856  0.006573  -2.16234  0.010867   1.35097  0.004953	  0.287036 0.00457302   0.610233	0.0234478  0.366443 -0.191603
0.0240559	 0.000588 -0.757849  0.007117  -2.16085   0.01169   1.34746  0.005288	  0.287059 0.00494578   0.610038	0.0240425  0.378317 -0.196788
