2.5719e-05	        0 -0.785398        -0  -2.18166        -0   1.39626        -0	    0.286731 -5.24738e-12     0.612709	 0 -0  0
0.00109955	        0 -0.785404        -0  -2.18168        -0   1.39627        -0	    0.28673 -5.2474e-12    0.612705	 -0.00110165 -5.63919e-14  -0.00819724
0.00210062	   -1e-06 -0.785448  -3.2e-05  -2.18167    -6e-05   1.39603  -3.3e-05	    0.286682 -2.28835e-05     0.612702	 -0.0947808  -0.0449987 0.000540215
0.00309929	   -2e-06 -0.785555 -0.000126  -2.18158 -0.000239   1.39529 -0.000133	    0.286541 -8.99947e-05     0.612707	 -0.188478 -0.0899868 0.00948994
0.00407325	   -5e-06 -0.785728 -0.000283  -2.18141 -0.000535   1.39404 -0.000297	    0.286306 -0.000201977     0.612721	 -0.28037 -0.134053 0.0183483
0.00508138	   -1e-05  -0.78597 -0.000501  -2.18118 -0.000944   1.39233 -0.000521	   0.285981 -0.00035737    0.612743	-0.370468  -0.17719  0.027132
0.00607544	 -1.8e-05 -0.786286  -0.00078  -2.18089 -0.001463   1.39015 -0.000801	    0.285566 -0.000555957     0.612775	-0.458818 -0.219403 0.0358592
0.00707571	 -2.8e-05 -0.786679 -0.001118  -2.18055 -0.002087   1.38755 -0.001134	    0.285064 -0.000795814     0.612815	-0.545463 -0.260703 0.0445441
0.00807317	 -4.3e-05 -0.787155 -0.001514  -2.18016 -0.002814   1.38453 -0.001516	   0.284476 -0.00107704    0.612864	-0.630443 -0.301097 0.0531947
0.00905754	 -6.1e-05 -0.787714 -0.001967  -2.17973 -0.003639   1.38111 -0.001943	   0.283804 -0.00139781    0.612921	-0.713794 -0.340593 0.0618197
0.0100772	 -8.4e-05 -0.788362 -0.002476  -2.17926 -0.004558   1.37732 -0.002414	   0.283049 -0.00175759    0.612988	-0.795547 -0.379198 0.0704201
0.0110781	-0.000112   -0.7891  -0.00304  -2.17876  -0.00557   1.37316 -0.002924	   0.282214 -0.00215574    0.613062	-0.875736  -0.41692 0.0789983
0.0120813	-0.000146  -0.78993 -0.003657  -2.17824  -0.00667   1.36867 -0.003473	   0.281299 -0.00259085    0.613145	-0.954386 -0.453766 0.0875547
0.0130948	-0.000187 -0.790855 -0.004327  -2.17771 -0.007856   1.36385 -0.004057	   0.280306 -0.00306277    0.613237	 -1.03153 -0.489743 0.0960834
0.0140997	-0.000234 -0.791877 -0.005049  -2.17715 -0.009125   1.35872 -0.004675	   0.279237 -0.00357023    0.613338	 -1.10718 -0.524857   0.10458
0.015102	-0.000288 -0.792997 -0.005822  -2.17659 -0.010473    1.3533 -0.005324	   0.278092 -0.00411232    0.613446	 -1.18137 -0.559117  0.113039
0.0160999	 -0.00035 -0.794217 -0.006644  -2.17602 -0.011899    1.3476 -0.006003	   0.276875 -0.00468821    0.613564	 -1.25411 -0.592528  0.121453
0.0171015	 -0.00042 -0.795537 -0.007514  -2.17544 -0.013399   1.34163 -0.006709	   0.275585 -0.00529669    0.613689	 -1.32543 -0.625099  0.129817
0.0181001	-0.000499  -0.79696 -0.008433  -2.17487 -0.014971   1.33541 -0.007442	   0.274224 -0.00593791    0.613823	 -1.39535 -0.656835  0.138118
0.0190717	-0.000588 -0.798484 -0.009397   -2.1743 -0.016613   1.32895 -0.008199	   0.272795 -0.00661004    0.613965	 -1.46388 -0.687744  0.146349
0.020081	-0.000686 -0.800112 -0.010408  -2.17374 -0.018322   1.32227 -0.008979	   0.271297 -0.00731289    0.614116	 -1.53104 -0.717833  0.154499
0.0211002	-0.000794 -0.801843 -0.011464  -2.17319 -0.020097   1.31537  -0.00978	   0.269733 -0.00804554    0.614274	 -1.59684 -0.747111  0.162561
0.0220739	-0.000913 -0.803678 -0.012564  -2.17265 -0.021934   1.30827 -0.010602	   0.268104 -0.00880696    0.614441	 -1.66131 -0.775583   0.17052
0.023081	-0.001043 -0.805617 -0.013707  -2.17212 -0.023833   1.30098 -0.011443	   0.266411 -0.00959649    0.614616	-1.72446 -0.80326 0.178368
0.024077	-0.001184 -0.807659 -0.014892  -2.17161 -0.025791    1.2935 -0.012302	 0.264656 -0.010413  0.614797	 -1.7863 -0.83015 0.186098
0.0250774	-0.001338 -0.809805 -0.016119  -2.17111 -0.027805   1.28586 -0.013177	  0.262839 -0.0112561   0.614988	 -1.84684 -0.856257  0.193695
0.0260859	-0.001504 -0.812054 -0.017387  -2.17064 -0.029875   1.27806 -0.014067	 0.260963 -0.012125  0.615185	  -1.9061 -0.881593  0.201151
0.0270834	-0.001684 -0.814406 -0.018695  -2.17018 -0.031999    1.2701 -0.014971	 0.259028 -0.013019   0.61539	  -1.9641 -0.906164  0.208455
0.0280727	-0.001876  -0.81686 -0.020043  -2.16975 -0.034175     1.262 -0.015889	 0.257035 -0.013937  0.615602	 -2.02085 -0.929983  0.215599
0.0291036	-0.002082 -0.819416  -0.02143  -2.16934 -0.036401   1.25377 -0.016818	  0.254987 -0.0148785   0.615821	 -2.07636 -0.953056   0.22257
0.0300734	-0.002303 -0.822072 -0.022855  -2.16895 -0.038677   1.24541 -0.017759	  0.252883 -0.0158429   0.616047	 -2.13064 -0.975393  0.229365
0.0310994	-0.002538 -0.824829 -0.024318  -2.16858 -0.040999   1.23693 -0.018709	 0.250726 -0.016829   0.61628	 -2.18371 -0.997003  0.235969
0.032101	-0.002788 -0.827684 -0.025819  -2.16824 -0.043368   1.22835 -0.019669	  0.248517 -0.0178367   0.616519	-2.23558  -1.0179 0.242378
0.0330732	-0.003054 -0.830638 -0.027356  -2.16792 -0.045782   1.21966 -0.020636	  0.246256 -0.0188648   0.616764	-2.28627 -1.03808 0.248579
0.0341012	-0.003335 -0.833689 -0.028929  -2.16763 -0.048239   1.21087 -0.021611	  0.243945 -0.0199124   0.617016	-2.33578 -1.05757 0.254569
0.0351029	-0.003633 -0.836836 -0.030539  -2.16737 -0.050738     1.202 -0.022592	  0.241585 -0.0209797   0.617273	-2.38413 -1.07638 0.260337
0.036074	-0.003947 -0.840078 -0.032184  -2.16712 -0.053278   1.19304 -0.023578	  0.239177 -0.0220651   0.617536	-2.43134  -1.0945 0.265878
0.0371007	-0.004278 -0.843413 -0.033864  -2.16691 -0.055859   1.18401 -0.024568	  0.236723 -0.0231685   0.617805	-2.47741 -1.11197 0.271186
0.0380828	-0.004626  -0.84684 -0.035578  -2.16671 -0.058478   1.17491 -0.025562	  0.234223 -0.0242884   0.618078	-2.52236 -1.12878 0.276254
0.0390768	-0.004992 -0.850359 -0.037328  -2.16654 -0.061135   1.16574 -0.026559	  0.231678 -0.0254256   0.618357	-2.56621 -1.14494 0.281072
0.0400705	-0.005376 -0.853967 -0.039111   -2.1664 -0.063829   1.15651 -0.027558	  0.229091 -0.0265782   0.618641	-2.60896 -1.16047 0.285641
0.0410778	-0.005778 -0.857663 -0.040929  -2.16627 -0.066559   1.14723 -0.028558	  0.226461 -0.0277463   0.618928	-2.65063 -1.17538 0.289953
0.0420763	-0.006199 -0.861446  -0.04278  -2.16617 -0.069324    1.1379 -0.029558	   0.22379 -0.0289288   0.619221	-2.69123 -1.18968 0.294002
0.043086	-0.006639 -0.865314 -0.044665  -2.16609 -0.072123   1.12853 -0.030558	  0.221079 -0.0301255   0.619516	-2.73078 -1.20339 0.297788
0.0440943	-0.007098 -0.869266 -0.046583  -2.16603 -0.074956   1.11912 -0.031556	  0.218329 -0.0313355   0.619816	-2.76929  -1.2165 0.301303
0.0451006	-0.007576 -0.873301 -0.048534  -2.16599 -0.077821   1.10967 -0.032553	  0.215541 -0.0325581   0.620119	-2.80676 -1.22904 0.304541
0.0461006	-0.008075 -0.877416 -0.050518  -2.16597 -0.080718    1.1002 -0.033547	  0.212716 -0.0337932   0.620425	-2.84323 -1.24102 0.307506
0.047102	-0.008593  -0.88161 -0.052536  -2.16597 -0.083646    1.0907 -0.034538	0.209855 -0.03504 0.620734	-2.87869 -1.25244 0.310191
0.0480994	-0.009132 -0.885881 -0.054586  -2.16598 -0.086604   1.08118 -0.035525	  0.206959 -0.0362978   0.621045	-2.91316 -1.26333 0.312597
0.0491013	-0.009692 -0.890229 -0.056669  -2.16601 -0.089592   1.07164 -0.036507	  0.204029 -0.0375663   0.621359	-2.94665 -1.27369 0.314716
0.0501	-0.010273 -0.894651 -0.058785  -2.16605 -0.092609   1.06209 -0.037484	 0.201067 -0.038845  0.621675	-2.97918 -1.28353 0.316548
0.051101	-0.010874 -0.899146 -0.060934  -2.16611 -0.095654   1.05253 -0.038455	 0.198071 -0.040133  0.621992	-3.01076 -1.29286 0.318095
0.0521009	-0.011498 -0.903712 -0.063116  -2.16618 -0.098728   1.04296 -0.039419	  0.195045 -0.0414307   0.622311	-3.04141 -1.30171 0.319349
0.0531036	-0.012142 -0.908347 -0.065331  -2.16626 -0.101829    1.0334 -0.040376	  0.191989 -0.0427366   0.622631	-3.07113 -1.31007 0.320317
0.0541013	-0.012809  -0.91305 -0.067578  -2.16635 -0.104956   1.02383 -0.041326	  0.188904 -0.0440504   0.622951	-3.09993 -1.31797 0.320995
0.0550793	-0.013498 -0.917819 -0.069859  -2.16644  -0.10811   1.01427 -0.042267	   0.18579 -0.0453724   0.623273	-3.12785 -1.32541  0.32138
0.0560769	-0.014209 -0.922652 -0.072172  -2.16655 -0.111289   1.00472   -0.0432	 0.182648 -0.046701  0.623594	-3.15487  -1.3324 0.321479
0.0570768	-0.014943 -0.927549 -0.074519  -2.16666 -0.114494  0.995175 -0.044123	   0.17948 -0.0480369   0.623915	-3.18102 -1.33896 0.321282
0.0580774	  -0.0157 -0.932506 -0.076899  -2.16677 -0.117723  0.985649 -0.045036	  0.176287 -0.0493791   0.624236	-3.20632  -1.3451 0.320798
0.0590564	-0.016479 -0.937522 -0.079312  -2.16688 -0.120977   0.97614 -0.045939	 0.173068 -0.050727  0.624557	-3.23076 -1.35084 0.320025
0.0600544	-0.017282 -0.942596 -0.081759  -2.16699 -0.124254  0.966653  -0.04683	  0.169826 -0.0520806   0.624877	-3.25437 -1.35617 0.318962
0.0611022	-0.018108 -0.947727 -0.084239   -2.1671 -0.127555  0.957189 -0.047711	   0.16656 -0.0534392   0.625195	-3.27716 -1.36112 0.317612
0.0620847	-0.018957 -0.952911 -0.086753  -2.16721 -0.130879  0.947752  -0.04858	  0.163272 -0.0548026   0.625512	-3.29914  -1.3657 0.315977
0.0631019	-0.019829 -0.958148 -0.089301  -2.16732 -0.134226  0.938344 -0.049436	  0.159962 -0.0561703   0.625827	-3.32031 -1.36992 0.314059
0.0641131	-0.020726 -0.963436 -0.091883  -2.16741 -0.137595  0.928969  -0.05028	  0.156631 -0.0575423    0.62614	-3.34071 -1.37378 0.311858
0.0651	-0.021646 -0.968773 -0.094499   -2.1675 -0.140985  0.919629 -0.051111	  0.153281 -0.0589177    0.62645	-3.36033 -1.37731 0.309376
0.0661011	 -0.02259 -0.974157  -0.09715  -2.16758 -0.144397  0.910327 -0.051928	  0.149911 -0.0602967   0.626758	-3.37919 -1.38051 0.306619
0.0671031	-0.023559 -0.979587 -0.099835  -2.16765 -0.147831  0.901065 -0.052732	  0.146523 -0.0616789   0.627063	 -3.3973 -1.38339 0.303585
0.0681138	-0.024551 -0.985062 -0.102555  -2.16771 -0.151284  0.891847 -0.053521	  0.143117 -0.0630634   0.627366	-3.41467 -1.38597 0.300273
0.0691034	-0.025568 -0.990578 -0.105309  -2.16775 -0.154759  0.882673 -0.054296	  0.139694 -0.0644505   0.627664	-3.43132 -1.38825   0.2967
0.0701012	-0.026609 -0.996135 -0.108099  -2.16777 -0.158253  0.873548 -0.055056	  0.136255 -0.0658398   0.627959	-3.44726 -1.39025 0.292856
0.0711176	-0.027674  -1.00173 -0.110924  -2.16777 -0.161766  0.864474 -0.055801	    0.1328 -0.0672308    0.62825	-3.46249 -1.39198 0.288748
0.0720795	-0.028764  -1.00736 -0.113784  -2.16776 -0.165299  0.855452  -0.05653	   0.12933 -0.0686235   0.628536	-3.47703 -1.39345 0.284381
0.0730845	-0.029879  -1.01303  -0.11668  -2.16772 -0.168851  0.846486 -0.057244	  0.125846 -0.0700177   0.628818	-3.49089 -1.39466 0.279757
0.0740761	-0.031018  -1.01873 -0.119612  -2.16765 -0.172421  0.837578 -0.057941	 0.122349 -0.071413  0.629096	-3.50408 -1.39564 0.274881
0.0750759	-0.032181  -1.02447 -0.122579  -2.16757 -0.176009   0.82873 -0.058622	  0.118838 -0.0728088   0.629368	-3.51662 -1.39639 0.269755
0.0760865	-0.033369  -1.03024 -0.125583  -2.16745 -0.179615  0.819945 -0.059287	  0.115315 -0.0742057   0.629635	-3.52851 -1.39691 0.264382
0.0770886	-0.034582  -1.03603 -0.128622   -2.1673 -0.183238  0.811225 -0.059935	  0.111781 -0.0756026   0.629897	-3.53976 -1.39723 0.258775
0.0780755	-0.035819  -1.04185 -0.131698  -2.16712 -0.186878  0.802572 -0.060566	0.108237   -0.077 0.630153	-3.55039 -1.39735  0.25293
0.079077	 -0.03708  -1.04769  -0.13481  -2.16691 -0.190534  0.793989  -0.06118	  0.104681 -0.0783971   0.630403	 -3.5604 -1.39728 0.246852
0.0800768	-0.038367  -1.05356 -0.137959  -2.16667 -0.194206  0.785477 -0.061777	  0.101116 -0.0797944   0.630647	-3.56981 -1.39703 0.240548
0.081101	-0.039677  -1.05945 -0.141144  -2.16638 -0.197894  0.777039 -0.062356	 0.0975417 -0.0811911   0.630884	-3.57863 -1.39661 0.234025
0.0821117	-0.041012  -1.06536 -0.144366  -2.16606 -0.201597  0.768678 -0.062918	 0.0939589 -0.0825874   0.631115	-3.58686 -1.39602 0.227283
0.0831008	-0.042371  -1.07129 -0.147625   -2.1657 -0.205315  0.760395 -0.063462	 0.0903682 -0.0839832   0.631339	-3.59452 -1.39529 0.220331
0.0840778	-0.043755  -1.07724 -0.150921  -2.16529 -0.209047  0.752193 -0.063988	 0.0867701 -0.0853783   0.631555	-3.60162 -1.39441 0.213174
0.0851024	-0.045162   -1.0832 -0.154253  -2.16484 -0.212792  0.744073 -0.064496	 0.0831652 -0.0867719   0.631765	-3.60817  -1.3934  0.20582
0.0861031	-0.046593  -1.08918 -0.157622  -2.16434 -0.216551  0.736039 -0.064985	  0.079554 -0.0881648   0.631967	-3.61417 -1.39227  0.19827
0.0871129	-0.048048  -1.09516 -0.161028   -2.1638 -0.220322  0.728092 -0.065457	 0.0759374 -0.0895564   0.632161	-3.61964 -1.39102 0.190536
0.0880555	-0.049527  -1.10116 -0.164471   -2.1632 -0.224105  0.720234  -0.06591	 0.0723151 -0.0909467   0.632348	-3.62458 -1.38966 0.182617
0.0890771	-0.051029  -1.10716 -0.167951  -2.16255 -0.227899  0.712467 -0.066345	 0.0686883 -0.0923356   0.632526	-3.62901  -1.3882 0.174524
0.0900834	-0.052555  -1.11317 -0.171468  -2.16185 -0.231705  0.704794 -0.066762	 0.0650572 -0.0937233   0.632697	-3.63293 -1.38665 0.166262
